27.11.2021 27.11.2021 3-11 2 3 3 4 3 4 5-12
27.11.2021 28.11.2021 6-13 5-13 6-12 6-11 5-10 4-10 3-7 4-7
27.11.2021 29.11.2021 4-8 3-8 4-7 5-10 7-13 7-15 7-15 8-16
27.11.2021 30.11.2021 8-18 7-18 6-13 7-14 9-17 8 9 7
27.11.2021 01.12.2021 3-10 2-7 1-5 1-5 1-2 1-3 3-6 5-10
27.11.2021 02.12.2021 3-10 3-8 5-10 5-12 5-14 4-11 5-10 5-12
27.11.2021 03.12.2021 5-13 6-13 6-13 5-13 5-13 5-12 5-12 6-12
03.04.2022 03.04.2022 3-11 5-10 6-16 4-13 6-13 4-13 2-11 2
03.04.2022 04.04.2022 1 2-5 5-13 10-17 9-14 7-12 6-9 5-9
03.04.2022 05.04.2022 5-9 5-9 4-9 4-6 5-7 5-7 3-6 3-6
03.04.2022 06.04.2022 4-12 5-14 5-13 7-14 9-16 10-18 8-14 4-10
03.04.2022 07.04.2022 3 1 2 3-6 3-7 4-6 2-7 2-4
03.04.2022 08.04.2022 2-5 3-9 3-9 3-10 4-8 5-11 6-14 4-11
03.04.2022 09.04.2022 4-9 4-8 3-7 3-7 4-6 4-7 3-8 3-8
03.04.2022 03.04.2022 3-11 5-10 6-16 4-13 6-13 4-13 2-11 2
03.04.2022 04.04.2022 1 2-5 5-13 10-17 9-14 7-12 6-9 5-9
03.04.2022 05.04.2022 5-9 5-9 4-9 4-6 5-7 5-7 3-6 3-6
03.04.2022 06.04.2022 4-12 5-14 5-13 7-14 9-16 10-18 8-14 4-10
03.04.2022 07.04.2022 3 1 2 3-6 3-7 4-6 2-7 2-4
03.04.2022 08.04.2022 2-5 3-9 3-9 3-10 4-8 5-11 6-14 4-11
03.04.2022 09.04.2022 4-9 4-8 3-7 3-7 4-6 4-7 3-8 3-8
04.04.2022 04.04.2022 1-11 1 3 9-18 6-15 4-11 5-10 5-11
04.04.2022 05.04.2022 5-9 5-10 4-8 4-6 4-6 4-7 3-5 3-8
04.04.2022 06.04.2022 4-11 4-13 5-13 8-14 8-15 9-15 7-14 3-6
04.04.2022 07.04.2022 2 2 3-6 5-9 5-8 4-7 3-8 3-8
04.04.2022 08.04.2022 2-5 2-4 2-3 3-7 6-10 7-9 7-13 5-11
04.04.2022 09.04.2022 3-8 3-7 2-5 3-4 4-5 4-7 3-8 3-9
04.04.2022 10.04.2022 2-7 3-8 1 1 2-3 3-6 2-7 2-4
04.04.2022 04.04.2022 1-11 1 3 9-18 6-15 4-11 5-10 5-11
04.04.2022 05.04.2022 5-9 5-10 4-8 4-6 4-6 4-7 3-5 3-8
04.04.2022 06.04.2022 4-11 4-13 5-13 8-14 8-15 9-15 7-14 3-6
04.04.2022 07.04.2022 2 2 3-6 5-9 5-8 4-7 3-8 3-8
04.04.2022 08.04.2022 2-5 2-4 2-3 3-7 6-10 7-9 7-13 5-11
04.04.2022 09.04.2022 3-8 3-7 2-5 3-4 4-5 4-7 3-8 3-9
04.04.2022 10.04.2022 2-7 3-8 1 1 2-3 3-6 2-7 2-4
05.04.2022 05.04.2022 4-11 3 2 3 3 4-10 3-6 3-7
05.04.2022 06.04.2022 3-8 4-11 3-11 6-11 7-12 7-14 5-11 3-6
05.04.2022 07.04.2022 2-3 3-5 3-9 4-8 6-9 4-7 3-6 2-7
05.04.2022 08.04.2022 2-6 2-6 1-3 3-7 6-8 6-8 5-9 3-8
05.04.2022 09.04.2022 3-9 3-5 2-5 3-4 2-4 2-3 1 2
05.04.2022 10.04.2022 3 3-6 2-4 2-4 2-4 1-2 1-3 1-2
05.04.2022 11.04.2022 2-7 3-9 2-8 5-11 6-11 6-10 3-9 8-13
05.04.2022 05.04.2022 4-11 3 2 3 3 4-10 3-6 3-7
05.04.2022 06.04.2022 3-8 4-11 3-11 6-11 7-12 7-14 5-11 3-6
05.04.2022 07.04.2022 2-3 3-5 3-9 4-8 6-9 4-7 3-6 2-7
05.04.2022 08.04.2022 2-6 2-6 1-3 3-7 6-8 6-8 5-9 3-8
05.04.2022 09.04.2022 3-9 3-5 2-5 3-4 2-4 2-3 1 2
05.04.2022 10.04.2022 3 3-6 2-4 2-4 2-4 1-2 1-3 1-2
05.04.2022 11.04.2022 2-7 3-9 2-8 5-11 6-11 6-10 3-9 8-13
05.04.2022 05.04.2022 4-11 3 2 3 3 4-10 3-6 3-7
05.04.2022 06.04.2022 3-8 4-11 3-11 6-11 7-12 7-14 5-11 3-6
05.04.2022 07.04.2022 2-3 3-5 3-9 4-8 6-9 4-7 3-6 2-7
05.04.2022 08.04.2022 2-6 2-6 1-3 3-7 6-8 6-8 5-9 3-8
05.04.2022 09.04.2022 3-9 3-5 2-5 3-4 2-4 2-3 1 2
05.04.2022 10.04.2022 3 3-6 2-4 2-4 2-4 1-2 1-3 1-2
05.04.2022 11.04.2022 2-7 3-9 2-8 5-11 6-11 6-10 3-9 8-13
01.01.0001 01.01.0001 2 2 2 3 6 6 5 4
08.04.2022 08.04.2022 2 2 2 3 6 6 5 4
08.04.2022 09.04.2022 2 3 2 2 2 1 1 2
